
**********************************************************
Atom Playback Data:   -2028182572
Log started: 10 Aug 2016 4:23:31pm

LOG START
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
